date,model,measure,value
01-Jul-1947,ar_trend_bound,mcse,0.015897841937611
01-Oct-1947,ar_trend_bound,mcse,0.015391940915303
01-Jan-1948,ar_trend_bound,mcse,0.01465992276993
01-Apr-1948,ar_trend_bound,mcse,0.0149778791871735
01-Jul-1948,ar_trend_bound,mcse,0.0147121615627227
01-Oct-1948,ar_trend_bound,mcse,0.014715398151888
01-Jan-1949,ar_trend_bound,mcse,0.0137895806156006
01-Apr-1949,ar_trend_bound,mcse,0.01363855171434
01-Jul-1949,ar_trend_bound,mcse,0.0133521328605819
01-Oct-1949,ar_trend_bound,mcse,0.0135405194230569
01-Jan-1950,ar_trend_bound,mcse,0.0138900360051665
01-Apr-1950,ar_trend_bound,mcse,0.0140215762956933
01-Jul-1950,ar_trend_bound,mcse,0.0143698406433075
01-Oct-1950,ar_trend_bound,mcse,0.0144094760289916
01-Jan-1951,ar_trend_bound,mcse,0.01381971841322
01-Apr-1951,ar_trend_bound,mcse,0.0135291245385277
01-Jul-1951,ar_trend_bound,mcse,0.0136099301339154
01-Oct-1951,ar_trend_bound,mcse,0.0134025158462636
01-Jan-1952,ar_trend_bound,mcse,0.0124140441242705
01-Apr-1952,ar_trend_bound,mcse,0.0118720025031127
01-Jul-1952,ar_trend_bound,mcse,0.0124359644386692
01-Oct-1952,ar_trend_bound,mcse,0.0124308241770716
01-Jan-1953,ar_trend_bound,mcse,0.0118443070303642
01-Apr-1953,ar_trend_bound,mcse,0.0121210306475847
01-Jul-1953,ar_trend_bound,mcse,0.0118223722292795
01-Oct-1953,ar_trend_bound,mcse,0.0124750935866683
01-Jan-1954,ar_trend_bound,mcse,0.0122639811978319
01-Apr-1954,ar_trend_bound,mcse,0.0125617738602437
01-Jul-1954,ar_trend_bound,mcse,0.0131565084454581
01-Oct-1954,ar_trend_bound,mcse,0.0132287938543164
01-Jan-1955,ar_trend_bound,mcse,0.012974165670512
01-Apr-1955,ar_trend_bound,mcse,0.0120540956134434
01-Jul-1955,ar_trend_bound,mcse,0.0108843216638551
01-Oct-1955,ar_trend_bound,mcse,0.0101898813439622
01-Jan-1956,ar_trend_bound,mcse,0.0103456200895827
01-Apr-1956,ar_trend_bound,mcse,0.00954203664590118
01-Jul-1956,ar_trend_bound,mcse,0.00987155656727673
01-Oct-1956,ar_trend_bound,mcse,0.0097536831317992
01-Jan-1957,ar_trend_bound,mcse,0.0103351293291193
01-Apr-1957,ar_trend_bound,mcse,0.0108993003505143
01-Jul-1957,ar_trend_bound,mcse,0.0111972935317964
01-Oct-1957,ar_trend_bound,mcse,0.0106787818751137
01-Jan-1958,ar_trend_bound,mcse,0.0117082251750899
01-Apr-1958,ar_trend_bound,mcse,0.0119796776440435
01-Jul-1958,ar_trend_bound,mcse,0.0116078500093928
01-Oct-1958,ar_trend_bound,mcse,0.0114236454173244
01-Jan-1959,ar_trend_bound,mcse,0.0124804240219746
01-Apr-1959,ar_trend_bound,mcse,0.0130965675580667
01-Jul-1959,ar_trend_bound,mcse,0.013200310482541
01-Oct-1959,ar_trend_bound,mcse,0.0133922621421127
01-Jan-1960,ar_trend_bound,mcse,0.0140606765203627
01-Apr-1960,ar_trend_bound,mcse,0.0132892648686245
01-Jul-1960,ar_trend_bound,mcse,0.0140683603552289
01-Oct-1960,ar_trend_bound,mcse,0.0142336544230511
01-Jan-1961,ar_trend_bound,mcse,0.0150428308906294
01-Apr-1961,ar_trend_bound,mcse,0.0154741745141731
01-Jul-1961,ar_trend_bound,mcse,0.0145691018687792
01-Oct-1961,ar_trend_bound,mcse,0.014984354679074
01-Jan-1962,ar_trend_bound,mcse,0.0150340175492435
01-Apr-1962,ar_trend_bound,mcse,0.0146977777733878
01-Jul-1962,ar_trend_bound,mcse,0.0146692800762676
01-Oct-1962,ar_trend_bound,mcse,0.013774882541917
01-Jan-1963,ar_trend_bound,mcse,0.0136552056749471
01-Apr-1963,ar_trend_bound,mcse,0.0137650873165057
01-Jul-1963,ar_trend_bound,mcse,0.0129076189890428
01-Oct-1963,ar_trend_bound,mcse,0.0126231312265486
01-Jan-1964,ar_trend_bound,mcse,0.0128097477675617
01-Apr-1964,ar_trend_bound,mcse,0.0122021984817524
01-Jul-1964,ar_trend_bound,mcse,0.0127726233430623
01-Oct-1964,ar_trend_bound,mcse,0.0119183211132772
01-Jan-1965,ar_trend_bound,mcse,0.011354937346201
01-Apr-1965,ar_trend_bound,mcse,0.0107955441946407
01-Jul-1965,ar_trend_bound,mcse,0.0103273183897009
01-Oct-1965,ar_trend_bound,mcse,0.0107015116408054
01-Jan-1966,ar_trend_bound,mcse,0.010906653394218
01-Apr-1966,ar_trend_bound,mcse,0.0103352836289069
01-Jul-1966,ar_trend_bound,mcse,0.0105438341165293
01-Oct-1966,ar_trend_bound,mcse,0.0103623442802371
01-Jan-1967,ar_trend_bound,mcse,0.0106794486779178
01-Apr-1967,ar_trend_bound,mcse,0.0112746143299061
01-Jul-1967,ar_trend_bound,mcse,0.0115166351969894
01-Oct-1967,ar_trend_bound,mcse,0.0116015278218663
01-Jan-1968,ar_trend_bound,mcse,0.0124838148891353
01-Apr-1968,ar_trend_bound,mcse,0.0128396331548369
01-Jul-1968,ar_trend_bound,mcse,0.0137088481208762
01-Oct-1968,ar_trend_bound,mcse,0.0145076890299595
01-Jan-1969,ar_trend_bound,mcse,0.0150162859744459
01-Apr-1969,ar_trend_bound,mcse,0.0157863082017673
01-Jul-1969,ar_trend_bound,mcse,0.0166801034853701
01-Oct-1969,ar_trend_bound,mcse,0.0171495883238519
01-Jan-1970,ar_trend_bound,mcse,0.0177831384146965
01-Apr-1970,ar_trend_bound,mcse,0.0182239027141212
01-Jul-1970,ar_trend_bound,mcse,0.0182490130050089
01-Oct-1970,ar_trend_bound,mcse,0.0183641489767622
01-Jan-1971,ar_trend_bound,mcse,0.0178439973106654
01-Apr-1971,ar_trend_bound,mcse,0.0181937548444219
01-Jul-1971,ar_trend_bound,mcse,0.0173674977801253
01-Oct-1971,ar_trend_bound,mcse,0.0179284744798825
01-Jan-1972,ar_trend_bound,mcse,0.0182338612471141
01-Apr-1972,ar_trend_bound,mcse,0.0179329417670631
01-Jul-1972,ar_trend_bound,mcse,0.0183019593984528
01-Oct-1972,ar_trend_bound,mcse,0.0185125090213781
01-Jan-1973,ar_trend_bound,mcse,0.0192679627713813
01-Apr-1973,ar_trend_bound,mcse,0.0200611980389678
01-Jul-1973,ar_trend_bound,mcse,0.0200529402743979
01-Oct-1973,ar_trend_bound,mcse,0.0202460103174929
01-Jan-1974,ar_trend_bound,mcse,0.0205537226017598
01-Apr-1974,ar_trend_bound,mcse,0.0207167005067056
01-Jul-1974,ar_trend_bound,mcse,0.0204167698624499
01-Oct-1974,ar_trend_bound,mcse,0.0199671754362228
01-Jan-1975,ar_trend_bound,mcse,0.0188453879835981
01-Apr-1975,ar_trend_bound,mcse,0.0195984656957504
01-Jul-1975,ar_trend_bound,mcse,0.0199629545885918
01-Oct-1975,ar_trend_bound,mcse,0.0200108096887735
01-Jan-1976,ar_trend_bound,mcse,0.0198459164648592
01-Apr-1976,ar_trend_bound,mcse,0.0206595704615529
01-Jul-1976,ar_trend_bound,mcse,0.0205473410019347
01-Oct-1976,ar_trend_bound,mcse,0.0197530554115571
01-Jan-1977,ar_trend_bound,mcse,0.020294664533838
01-Apr-1977,ar_trend_bound,mcse,0.0207568109614237
01-Jul-1977,ar_trend_bound,mcse,0.0211357753430267
01-Oct-1977,ar_trend_bound,mcse,0.0200277679353757
01-Jan-1978,ar_trend_bound,mcse,0.0191781824170086
01-Apr-1978,ar_trend_bound,mcse,0.0199085464163283
01-Jul-1978,ar_trend_bound,mcse,0.020498661447967
01-Oct-1978,ar_trend_bound,mcse,0.0201938624626321
01-Jan-1979,ar_trend_bound,mcse,0.0199788894907995
01-Apr-1979,ar_trend_bound,mcse,0.019630690333025
01-Jul-1979,ar_trend_bound,mcse,0.0193361804454279
01-Oct-1979,ar_trend_bound,mcse,0.0196198597152421
01-Jan-1980,ar_trend_bound,mcse,0.0194319589409909
01-Apr-1980,ar_trend_bound,mcse,0.0194082396064232
01-Jul-1980,ar_trend_bound,mcse,0.0194080377346095
01-Oct-1980,ar_trend_bound,mcse,0.0194979970294888
01-Jan-1981,ar_trend_bound,mcse,0.0197558010835444
01-Apr-1981,ar_trend_bound,mcse,0.0195134643270916
01-Jul-1981,ar_trend_bound,mcse,0.0203806163608424
01-Oct-1981,ar_trend_bound,mcse,0.020458231283862
01-Jan-1982,ar_trend_bound,mcse,0.0202084275640888
01-Apr-1982,ar_trend_bound,mcse,0.0199369440664529
01-Jul-1982,ar_trend_bound,mcse,0.019366522756745
01-Oct-1982,ar_trend_bound,mcse,0.0189762145282688
01-Jan-1983,ar_trend_bound,mcse,0.0183823150882977
01-Apr-1983,ar_trend_bound,mcse,0.0177623945845187
01-Jul-1983,ar_trend_bound,mcse,0.0170593194961146
01-Oct-1983,ar_trend_bound,mcse,0.0164080584315358
01-Jan-1984,ar_trend_bound,mcse,0.0159763854500324
01-Apr-1984,ar_trend_bound,mcse,0.0157119673846003
01-Jul-1984,ar_trend_bound,mcse,0.0145956213792907
01-Oct-1984,ar_trend_bound,mcse,0.0150100946465993
01-Jan-1985,ar_trend_bound,mcse,0.0144385864160015
01-Apr-1985,ar_trend_bound,mcse,0.0147258464583602
01-Jul-1985,ar_trend_bound,mcse,0.0139480957532396
01-Oct-1985,ar_trend_bound,mcse,0.0139066904472239
01-Jan-1986,ar_trend_bound,mcse,0.013140825355163
01-Apr-1986,ar_trend_bound,mcse,0.014395311157602
01-Jul-1986,ar_trend_bound,mcse,0.0141301569627932
01-Oct-1986,ar_trend_bound,mcse,0.0135907723343686
01-Jan-1987,ar_trend_bound,mcse,0.0145376264375766
01-Apr-1987,ar_trend_bound,mcse,0.0141791909326155
01-Jul-1987,ar_trend_bound,mcse,0.0139674445171493
01-Oct-1987,ar_trend_bound,mcse,0.0133598646376841
01-Jan-1988,ar_trend_bound,mcse,0.0130410359054841
01-Apr-1988,ar_trend_bound,mcse,0.0129582926835843
01-Jul-1988,ar_trend_bound,mcse,0.0131075467374278
01-Oct-1988,ar_trend_bound,mcse,0.0127802683210864
01-Jan-1989,ar_trend_bound,mcse,0.0128416167649208
01-Apr-1989,ar_trend_bound,mcse,0.0120586012956325
01-Jul-1989,ar_trend_bound,mcse,0.0114879811018754
01-Oct-1989,ar_trend_bound,mcse,0.0106844408170838
01-Jan-1990,ar_trend_bound,mcse,0.0105480518597002
01-Apr-1990,ar_trend_bound,mcse,0.010321944234677
01-Jul-1990,ar_trend_bound,mcse,0.0100608013059012
01-Oct-1990,ar_trend_bound,mcse,0.00899158967584131
01-Jan-1991,ar_trend_bound,mcse,0.00704178669462418
01-Apr-1991,ar_trend_bound,mcse,0.00688836801716422
01-Jul-1991,ar_trend_bound,mcse,0.00636659452994175
01-Oct-1991,ar_trend_bound,mcse,0.00696017364147676
01-Jan-1992,ar_trend_bound,mcse,0.00658725010246466
01-Apr-1992,ar_trend_bound,mcse,0.00624837486894917
01-Jul-1992,ar_trend_bound,mcse,0.00593335059184752
01-Oct-1992,ar_trend_bound,mcse,0.00601346423973489
01-Jan-1993,ar_trend_bound,mcse,0.00571490842954311
01-Apr-1993,ar_trend_bound,mcse,0.00548210820258359
01-Jul-1993,ar_trend_bound,mcse,0.00608679895991626
01-Oct-1993,ar_trend_bound,mcse,0.00638769026186229
01-Jan-1994,ar_trend_bound,mcse,0.00653487250326981
01-Apr-1994,ar_trend_bound,mcse,0.00676197121090541
01-Jul-1994,ar_trend_bound,mcse,0.00632151093609925
01-Oct-1994,ar_trend_bound,mcse,0.00658699253282747
01-Jan-1995,ar_trend_bound,mcse,0.00583123809211088
01-Apr-1995,ar_trend_bound,mcse,0.00572510706797748
01-Jul-1995,ar_trend_bound,mcse,0.00506098120671501
01-Oct-1995,ar_trend_bound,mcse,0.00599101077433099
01-Jan-1996,ar_trend_bound,mcse,0.00601710851770197
01-Apr-1996,ar_trend_bound,mcse,0.00530680320140692
01-Jul-1996,ar_trend_bound,mcse,0.00484570242386961
01-Oct-1996,ar_trend_bound,mcse,0.00522512502458997
01-Jan-1997,ar_trend_bound,mcse,0.00616178077096397
01-Apr-1997,ar_trend_bound,mcse,0.00723295832037398
01-Jul-1997,ar_trend_bound,mcse,0.00726972550533441
01-Oct-1997,ar_trend_bound,mcse,0.00733179363237001
01-Jan-1998,ar_trend_bound,mcse,0.00803063071071667
01-Apr-1998,ar_trend_bound,mcse,0.00729606179282774
01-Jul-1998,ar_trend_bound,mcse,0.00655972592984986
01-Oct-1998,ar_trend_bound,mcse,0.00686896956124883
01-Jan-1999,ar_trend_bound,mcse,0.00620982563481833
01-Apr-1999,ar_trend_bound,mcse,0.00566594973773875
01-Jul-1999,ar_trend_bound,mcse,0.0046896992355583
01-Oct-1999,ar_trend_bound,mcse,0.00530673563457251
01-Jan-2000,ar_trend_bound,mcse,0.00626529848435902
01-Apr-2000,ar_trend_bound,mcse,0.00670145048053564
01-Jul-2000,ar_trend_bound,mcse,0.00698001153158685
01-Oct-2000,ar_trend_bound,mcse,0.00711700290578146
01-Jan-2001,ar_trend_bound,mcse,0.00630185567341996
01-Apr-2001,ar_trend_bound,mcse,0.00716536796852345
01-Jul-2001,ar_trend_bound,mcse,0.00777999800795168
01-Oct-2001,ar_trend_bound,mcse,0.0079408767507745
01-Jan-2002,ar_trend_bound,mcse,0.00656247012694849
01-Apr-2002,ar_trend_bound,mcse,0.00677741916384944
01-Jul-2002,ar_trend_bound,mcse,0.00575527075942339
01-Oct-2002,ar_trend_bound,mcse,0.00610515342837403
01-Jan-2003,ar_trend_bound,mcse,0.00618058206580383
01-Apr-2003,ar_trend_bound,mcse,0.00719920689617666
01-Jul-2003,ar_trend_bound,mcse,0.00714610033749465
01-Oct-2003,ar_trend_bound,mcse,0.00662761475056578
01-Jan-2004,ar_trend_bound,mcse,0.00647508646233369
01-Apr-2004,ar_trend_bound,mcse,0.00729520584865334
01-Jul-2004,ar_trend_bound,mcse,0.00756364761221363
01-Oct-2004,ar_trend_bound,mcse,0.00785047033111019
01-Jan-2005,ar_trend_bound,mcse,0.00882722491062822
01-Apr-2005,ar_trend_bound,mcse,0.00821986399787923
01-Jul-2005,ar_trend_bound,mcse,0.00844676574502063
01-Oct-2005,ar_trend_bound,mcse,0.00863718198495739
01-Jan-2006,ar_trend_bound,mcse,0.00928519662906812
01-Apr-2006,ar_trend_bound,mcse,0.0093320902085759
01-Jul-2006,ar_trend_bound,mcse,0.00959573337345895
