id,model,statistic,value,tolerance,status,note
G1,ucsv_sw07,"seed matches preset",1,NaN,pass,"preset says 1"
G1,ucsv_sw07,"generator",NaN,NaN,pass,"threefry"
G1,ar_trend_bound,"seed matches preset",2,NaN,pass,"preset says 2"
G1,ar_trend_bound,"generator",NaN,NaN,pass,"threefry"
G1,biuc_lrexp,"seed matches preset",3,NaN,pass,"preset says 3"
G1,biuc_lrexp,"generator",NaN,NaN,pass,"threefry"
G1,uc_2m,"seed matches preset",4,NaN,pass,"preset says 4"
G1,uc_2m,"generator",NaN,NaN,pass,"threefry"
G1,ucur_break2,"seed matches preset",5,NaN,pass,"preset says 5"
G1,ucur_break2,"generator",NaN,NaN,pass,"threefry"
G1,all,"seeds distinct",5,5,pass,"no two models share a stream"
G2,ptr,"series present",265,NaN,pass,""
G2,ptr,"last quarter not in the future",2026.1,2026.3,pass,"last 2026Q1, now 2026Q3"
G2,ptr,"backfill flat",32,32,pass,"32 quarters at 1.6827"
G3,all,"sample extension",NaN,NaN,n/a,"first release: the archive begins with this vintage"
G4,ucsv_sw07,"non-finite draws",0,0,pass,""
G4,ucsv_sw07,"non-finite published values",0,0,pass,""
G4,ar_trend_bound,"non-finite draws",0,0,pass,""
G4,ar_trend_bound,"non-finite published values",0,0,pass,""
G4,biuc_lrexp,"non-finite draws",0,0,pass,""
G4,biuc_lrexp,"non-finite published values",0,0,pass,""
G4,uc_2m,"non-finite draws",0,0,pass,""
G4,uc_2m,"non-finite published values",0,0,pass,""
G4,ucur_break2,"non-finite draws",0,0,pass,""
G4,ucur_break2,"non-finite published values",0,0,pass,""
G5,ar_trend_bound,"trend inside bounds",0,0,pass,"bounds [0 5]"
G5,ar_trend_bound,"share of draws at a bound",0,0.01,pass,"reported even when formally inside"
G5,ar_trend_bound,"rho inside bounds",0,0,pass,"0 to 1"
G6,ucsv_sw07,"acceptance rates",NaN,NaN,n/a,"no Metropolis-Hastings block in this model"
G6,ar_trend_bound,"acceptance rate, tau",NaN,NaN,n/a,"observed 0.872; no target has been measured"
G6,ar_trend_bound,"acceptance rate, h",NaN,NaN,n/a,"observed 0.823; no target has been measured"
G6,ar_trend_bound,"acceptance rate, rho",NaN,NaN,n/a,"observed 0.653; no target has been measured"
G6,ar_trend_bound,"acceptance rate, sigrho",NaN,NaN,n/a,"observed 0.927; no target has been measured"
G6,ar_trend_bound,"acceptance rate, sigtau",NaN,NaN,n/a,"observed 0.979; no target has been measured"
G6,biuc_lrexp,"acceptance rate, b",NaN,NaN,n/a,"observed 0.667; no target has been measured"
G6,biuc_lrexp,"acceptance rate, psi",NaN,NaN,n/a,"observed 0.936; no target has been measured"
G6,biuc_lrexp,"acceptance rate, sigb2",NaN,NaN,n/a,"observed 0.926; no target has been measured"
G6,biuc_lrexp,"acceptance rate, rhod1",NaN,NaN,n/a,"observed 0.761; no target has been measured"
G6,biuc_lrexp,"acceptance rate, rhod2",NaN,NaN,n/a,"observed 0.725; no target has been measured"
G6,uc_2m,"acceptance rate, phi",NaN,NaN,n/a,"observed 1.000; no target has been measured"
G6,ucur_break2,"acceptance rate, phi",NaN,NaN,n/a,"observed 1.000; no target has been measured"
G7,ucsv_sw07,"min effective sample size",148.92702957012,100,pass,"worst: trend_inflation[16]"
G7,ar_trend_bound,"min effective sample size",424.927391549305,100,pass,"worst: sigrho"
G7,biuc_lrexp,"min effective sample size",134.413388519702,100,pass,"worst: trend_inflation[83]"
G7,uc_2m,"min effective sample size",156.098878775285,100,pass,"worst: output_gap[1]"
G7,ucur_break2,"min effective sample size",159.704708700374,100,pass,"worst: output_gap[294]"
G8,all,"revision tolerance",NaN,NaN,n/a,"first release: nothing to revise against"
G10,all,"GDP base change",NaN,NaN,n/a,"first release: no overlap to compare"
