date,value
1947-01-01,11.556
1947-04-01,11.648
1947-07-01,11.865
1947-10-01,12.161
1948-01-01,12.295
1948-04-01,12.423
1948-07-01,12.613
1948-10-01,12.574
1949-01-01,12.476
1949-04-01,12.4
1949-07-01,12.328
1949-10-01,12.316
1950-01-01,12.294
1950-04-01,12.352
1950-07-01,12.61
1950-10-01,12.836
1951-01-01,13.246
1951-04-01,13.354
1951-07-01,13.372
1951-10-01,13.549
1952-01-01,13.606
1952-04-01,13.602
1952-07-01,13.691
1952-10-01,13.714
1953-01-01,13.766
1953-04-01,13.786
1953-07-01,13.861
1953-10-01,13.922
1954-01-01,13.992
1954-04-01,13.973
1954-07-01,13.927
1954-10-01,13.912
1955-01-01,13.957
1955-04-01,13.971
1955-07-01,14.025
1955-10-01,14.063
1956-01-01,14.121
1956-04-01,14.216
1956-07-01,14.355
1956-10-01,14.439
1957-01-01,14.569
1957-04-01,14.662
1957-07-01,14.781
1957-10-01,14.858
1958-01-01,15.041
1958-04-01,15.069
1958-07-01,15.08
1958-10-01,15.074
1959-01-01,15.176
1959-04-01,15.238
1959-07-01,15.33
1959-10-01,15.414
1960-01-01,15.434
1960-04-01,15.515
1960-07-01,15.573
1960-10-01,15.642
1961-01-01,15.671
1961-04-01,15.669
1961-07-01,15.726
1961-10-01,15.742
1962-01-01,15.81
1962-04-01,15.866
1962-07-01,15.909
1962-10-01,15.957
1963-01-01,16.003
1963-04-01,16.029
1963-07-01,16.106
1963-10-01,16.166
1964-01-01,16.242
1964-04-01,16.277
1964-07-01,16.331
1964-10-01,16.384
1965-01-01,16.437
1965-04-01,16.52
1965-07-01,16.582
1965-10-01,16.632
1966-01-01,16.761
1966-04-01,16.898
1966-07-01,17.027
1966-10-01,17.159
1967-01-01,17.209
1967-04-01,17.29
1967-07-01,17.45
1967-10-01,17.6
1968-01-01,17.787
1968-04-01,17.968
1968-07-01,18.154
1968-10-01,18.355
1969-01-01,18.534
1969-04-01,18.77
1969-07-01,19
1969-10-01,19.22
1970-01-01,19.443
1970-04-01,19.659
1970-07-01,19.85
1970-10-01,20.107
1971-01-01,20.297
1971-04-01,20.528
1971-07-01,20.729
1971-10-01,20.857
1972-01-01,21.076
1972-04-01,21.198
1972-07-01,21.384
1972-10-01,21.559
1973-01-01,21.821
1973-04-01,22.241
1973-07-01,22.647
1973-10-01,23.112
1974-01-01,23.8
1974-04-01,24.474
