date,value
1960-01-01,1.6827
1960-04-01,1.6827
1960-07-01,1.6827
1960-10-01,1.6827
1961-01-01,1.6827
1961-04-01,1.6827
1961-07-01,1.6827
1961-10-01,1.6827
1962-01-01,1.6827
1962-04-01,1.6827
1962-07-01,1.6827
1962-10-01,1.6827
1963-01-01,1.6827
1963-04-01,1.6827
1963-07-01,1.6827
1963-10-01,1.6827
1964-01-01,1.6827
1964-04-01,1.6827
1964-07-01,1.6827
1964-10-01,1.6827
1965-01-01,1.6827
1965-04-01,1.6827
1965-07-01,1.6827
1965-10-01,1.6827
1966-01-01,1.6827
1966-04-01,1.6827
1966-07-01,1.6827
1966-10-01,1.6827
1967-01-01,1.6827
1967-04-01,1.6827
1967-07-01,1.6827
1967-10-01,1.6827
1968-01-01,1.6827
1968-04-01,1.6827
1968-07-01,2.5154
1968-10-01,2.5154
1969-01-01,2.5154
1969-04-01,2.6198
1969-07-01,2.6787
1969-10-01,2.6787
1970-01-01,2.6787
1970-04-01,2.6787
1970-07-01,2.8353
1970-10-01,3.0976
1971-01-01,3.0976
1971-04-01,3.0976
1971-07-01,3.0976
1971-10-01,3.4937
1972-01-01,3.4937
1972-04-01,3.4937
1972-07-01,3.4937
1972-10-01,3.9173
1973-01-01,3.9173
1973-04-01,3.9173
1973-07-01,3.9173
1973-10-01,3.9173
1974-01-01,4.21103333333333
1974-04-01,4.88973333333333
1974-07-01,5.0722
1974-10-01,5.0722
1975-01-01,5.0722
1975-04-01,5.09506666666667
1975-07-01,5.1408
1975-10-01,5.1408
1976-01-01,4.87883333333333
1976-04-01,4.40286666666667
1976-07-01,4.4988
1976-10-01,4.4988
1977-01-01,4.4988
1977-04-01,4.616
1977-07-01,4.8504
1977-10-01,4.8504
1978-01-01,5.03863333333333
1978-04-01,5.4151
1978-07-01,5.4151
1978-10-01,5.65916666666667
1979-01-01,6.1473
1979-04-01,6.1473
1979-07-01,6.7167
1979-10-01,6.7167
1980-01-01,6.7167
1980-04-01,6.7167
1980-07-01,6.7167
1980-10-01,7.0525
1981-01-01,7.7241
1981-04-01,7.47
1981-07-01,7.22
1981-10-01,7.33
1982-01-01,6.76
1982-04-01,6.359999
1982-07-01,6.36557326229508
1982-10-01,6.199999
1983-01-01,5.92
1983-04-01,6.18
1983-07-01,6.229999
1983-10-01,6.25
1984-01-01,6.18
1984-04-01,6.10245850819672
1984-07-01,5.649999
1984-10-01,5.3
1985-01-01,4.95338983050847
1985-04-01,5.0749995
1985-07-01,5.295
1985-10-01,5.21131047540984
1986-01-01,4.87711811864407
1986-04-01,4.85142791208791
1986-07-01,4.71885195081967
1986-10-01,4.70521705434783
1987-01-01,4.8849995
1987-04-01,4.89573719672131
1987-07-01,5.08081967213115
1987-10-01,4.74
1988-01-01,4.835
1988-04-01,4.645
1988-07-01,4.52
1988-10-01,4.26684782608696
1989-01-01,4.29
1989-04-01,4.34
1989-07-01,4.13
1989-10-01,3.90573770491803
1990-01-01,3.65573770491803
1990-04-01,3.87
1990-07-01,3.98803278688525
1990-10-01,3.8983606557377
1991-01-01,3.91220338983051
1991-04-01,3.94
1991-07-01,3.68
1991-10-01,3.6
1992-01-01,3.3
1992-04-01,3.5
1992-07-01,3.35
1992-10-01,3.2
1993-01-01,3.1
1993-04-01,3.3
1993-07-01,3.05
1993-10-01,3.05
1994-01-01,3.05
1994-04-01,3.1
1994-07-01,3.1
1994-10-01,3.1
1995-01-01,2.9
1995-04-01,2.95
1995-07-01,2.8
1995-10-01,2.6
1996-01-01,2.6
1996-04-01,2.6
1996-07-01,2.6
1996-10-01,2.6
1997-01-01,2.6
1997-04-01,2.45
1997-07-01,2.6
1997-10-01,2.25
1998-01-01,2.2
1998-04-01,2.1
1998-07-01,2.1
1998-10-01,2.1
1999-01-01,1.9
1999-04-01,2.1
1999-07-01,2.1
1999-10-01,2.1
2000-01-01,2.1
2000-04-01,2.1
2000-07-01,2.1
2000-10-01,2.1
2001-01-01,2.1
2001-04-01,2.1
2001-07-01,2.1
